,0
F1609,0.1566291
F949,0.06824493
F1057,0.03979093
F1166,0.02839437
F1058,0.027872972
F1706,0.027595801
F1707,0.024731796
F1705,0.023083959
F3811,0.02238838
F3805,0.021156726
F1179,0.019003218
F1603,0.016882781
F3806,0.014791802
F3807,0.0146246115
F1285,0.013584701
F1315,0.012629239
F1059,0.011552684
F1610,0.011368087
F1856,0.011331241
F951,0.010849895
F950,0.010842786
F3813,0.010244857
F1814,0.009881685
F1099,0.009733135
F1597,0.009409332
F1813,0.008472657
F1639,0.008363902
F1394,0.008111522
F2582,0.007969478
F1165,0.0074291513
F1711,0.0073900945
F1760,0.0070523643
F1815,0.0070251413
F991,0.0068746237
F1167,0.0064363256
F3873,0.0064002033
F1747,0.006135704
F3800,0.0058422615
F1173,0.00580162
F1389,0.005768801
F1712,0.0056836237
F3799,0.0054555857
F3872,0.0053049712
F1274,0.0050960733
F3846,0.005039524
F1423,0.0048462003
F1599,0.0047969418
F1064,0.0047312384
F1490,0.00471094
F1713,0.004568962
F1101,0.0044924
F1692,0.0042552743
F1275,0.0041365754
F1718,0.004057419
F1070,0.0040271953
F1651,0.004020523
F1424,0.004017506
F1604,0.0038945805
F1598,0.0038709117
F1112,0.003765154
F1388,0.0037496025
F3871,0.003743361
F2678,0.0037208437
F956,0.0036904262
F1533,0.0036441223
F1209,0.0035489912
F1221,0.0032998486
F962,0.003090776
F1827,0.0030430076
F1425,0.0030383242
F1857,0.002995911
F1436,0.0029766199
F1395,0.0028253172
F1177,0.0027597453
F1640,0.0027556971
F1316,0.0027354443
F1821,0.002675862
F3889,0.002668622
F1855,0.0025701635
F115,0.0024787665
F1279,0.002446929
F1869,0.0024227565
F3894,0.00240271
F3848,0.0024009342
F3801,0.0023565614
F1652,0.0023183518
F1641,0.002294538
F3812,0.002273525
log_F2737,0.0022444287
F3849,0.0022221787
F1819,0.0022035472
F2737,0.002162138
F1611,0.002084461
velocity_age_interaction,0.002031813
F2122,0.002016331
F1071,0.0019327936
F3837,0.0019209767
F992,0.0018961225
F1749,0.0018841943
F1867,0.0018798814
F1759,0.0018211771
F2956,0.0018204618
F1532,0.001794935
F1820,0.001788108
F1605,0.001757172
F1172,0.0016720075
F1545,0.0016700451
F3835,0.0016488871
ratio_F115_F321,0.0016440249
F3836,0.0016109246
F1004,0.0015933946
F1113,0.0015236689
F961,0.0014767104
F1328,0.0014756958
log_F3887,0.0014568499
F1503,0.0014523284
ratio_F2582_F2678,0.0014332674
F1495,0.0014166523
F3043,0.0014155039
F3887,0.0013588198
F1286,0.0013475933
F3832,0.0013413322
F1003,0.0013138924
F3838,0.0012655958
F1531,0.001263066
F1327,0.0012582019
F3839,0.0012560531
F1208,0.0012550397
F1111,0.0012395702
F1497,0.0012308337
F1382,0.0011734234
F1491,0.0011024557
F1435,0.0010628691
F1825,0.0010459216
F1717,0.0010406068
F1063,0.0010239684
F670,0.001022191
F1868,0.0010188891
F1207,0.000994908
F531,0.0009815035
F1393,0.00096082914
F1748,0.0009413567
F3833,0.0009178862
ratio_F527_F531,0.0008738229
F3891,0.00084976724
F321,0.0008421634
F1387,0.000839194
F3834,0.0007895787
F1502,0.0007768156
F1719,0.00073352543
F3840,0.00069619075
F1826,0.0006909305
F1280,0.00067231955
F1381,0.0006560372
F1489,0.00058969576
F1178,0.00054428005
F1219,0.0005176589
F1543,0.0005000908
F527,0.000471231
F1069,0.0004474827
F1544,0.0003968451
F1273,0.00035184922
F1100,0.000351262
F1383,0.00030042967
F955,0.0002673994
log_F3836,0.00023235516
F1171,0.00023016703
F1065,0.00021725586
F1496,0.00015048405
F1220,0.00015039362
F1501,0.00010115532
F1437,0.0
F2082,0.0
F1761,0.0
F3888_year,0.0
ratio_F2082_F2122,0.0
F3888_month,0.0
F1653,0.0
F3888_age_days,0.0
