iter	Passed	Remaining
0	181	54125
1	345	51459
2	512	50719
3	663	49086
4	811	47890
5	941	46120
6	1101	46095
7	1240	45274
8	1380	44636
9	1522	44152
10	1689	44386
11	1844	44273
12	1982	43774
13	2128	43479
14	2268	43104
15	2407	42739
16	2554	42523
17	2739	42913
18	2896	42843
19	3063	42895
20	3226	42870
21	3368	42563
22	3530	42521
23	3730	42904
24	3885	42739
25	4042	42601
26	4219	42664
27	4395	42696
28	4591	42909
29	4764	42879
30	4944	42907
31	5105	42754
32	5279	42719
33	5421	42415
34	5582	42270
35	5746	42140
36	5898	41928
37	6043	41670
38	6178	41347
39	6331	41152
40	6470	40875
41	6613	40627
42	6755	40374
43	6895	40120
44	7057	39993
45	7217	39855
46	7378	39719
47	7549	39632
48	7748	39692
49	7902	39510
50	8062	39364
51	8211	39162
52	8371	39013
53	8513	38784
54	8698	38746
55	8844	38537
56	8989	38323
57	9119	38050
58	9256	37811
59	9420	37682
60	9595	37596
61	9770	37506
62	9908	37274
63	10048	37055
64	10209	36911
65	10366	36755
66	10528	36615
67	10692	36479
68	10856	36346
69	11000	36146
70	11119	35865
71	11237	35584
72	11365	35341
73	11484	35075
74	11617	34853
75	11769	34688
76	11906	34481
77	12055	34312
78	12199	34128
79	12345	33950
80	12480	33744
81	12621	33554
82	12770	33387
83	12895	33160
84	13020	32932
85	13140	32697
86	13263	32472
87	13398	32277
88	13531	32080
89	13707	31983
90	13847	31803
91	13980	31607
92	14131	31453
93	14299	31336
94	14473	31232
95	14631	31092
96	14810	30995
97	14956	30829
98	15126	30712
99	15290	30581
100	15469	30479
101	15649	30378
102	15824	30266
103	15994	30142
104	16146	29987
105	16333	29893
106	16596	29935
107	16830	29920
108	17027	29837
109	17210	29727
110	17403	29633
111	17608	29556
112	17824	29496
113	18001	29370
114	18172	29233
115	18348	29104
116	18515	28959
117	18685	28820
118	18876	28711
119	19078	28618
120	19326	28590
121	19520	28480
122	19740	28407
123	19936	28297
124	20126	28176
125	20314	28052
126	20496	27920
127	20665	27769
128	20859	27651
129	21035	27508
130	21245	27407
131	21432	27277
132	21641	27173
133	21852	27071
134	22054	26955
135	22239	26818
136	22408	26661
137	22577	26504
138	22757	26358
139	22908	26181
140	23057	26001
141	23216	25832
142	23358	25645
143	23509	25469
144	23658	25290
145	23830	25136
146	23997	24977
147	24166	24820
148	24324	24650
149	24503	24503
150	24671	24344
151	24830	24176
152	24990	24010
153	25145	23839
154	25329	23695
155	25501	23539
156	25685	23395
157	25856	23238
158	26006	23062
159	26176	22904
160	26343	22743
161	26550	22616
162	26710	22449
163	26884	22294
164	27037	22121
165	27185	21944
166	27346	21778
167	27502	21609
168	27646	21430
169	27788	21250
170	27924	21065
171	28060	20882
172	28186	20692
173	28336	20519
174	28510	20364
175	28676	20204
176	28836	20038
177	29021	19890
178	29296	19803
179	29570	19713
180	29823	19607
181	30046	19480
182	30207	19313
183	30363	19142
184	30561	18997
185	30714	18825
186	30870	18654
187	31028	18485
188	31213	18331
189	31394	18175
190	31597	18031
191	31744	17856
192	31916	17694
193	32064	17519
194	32221	17350
195	32389	17186
196	32556	17021
197	32693	16842
198	32833	16664
199	32968	16484
200	33099	16302
201	33242	16127
202	33379	15949
203	33513	15770
204	33682	15609
205	33840	15441
206	33995	15273
207	34165	15111
208	34320	14943
209	34467	14771
210	34642	14612
211	34800	14445
212	34958	14278
213	35090	14101
214	35237	13930
215	35370	13755
216	35514	13583
217	35651	13410
218	35764	13227
219	35891	13051
220	36034	12881
221	36170	12708
222	36311	12537
223	36439	12363
224	36577	12192
225	36715	12021
226	36860	11853
227	36977	11677
228	37102	11503
229	37221	11328
230	37335	11152
231	37454	10978
232	37592	10809
233	37719	10638
234	37844	10467
235	37962	10294
236	38092	10125
237	38211	9954
238	38335	9784
239	38449	9612
240	38576	9444
241	38714	9278
242	38845	9112
243	38995	8949
244	39105	8778
245	39251	8616
246	39407	8455
247	39551	8293
248	39684	8128
249	39817	7963
250	39988	7806
251	40126	7643
252	40259	7479
253	40387	7314
254	40525	7151
255	40671	6990
256	40821	6830
257	40972	6669
258	41112	6508
259	41240	6344
260	41379	6183
261	41512	6020
262	41653	5859
263	41791	5698
264	41941	5539
265	42071	5377
266	42203	5216
267	42340	5055
268	42495	4897
269	42643	4738
270	42797	4579
271	42980	4424
272	43147	4267
273	43337	4112
274	43539	3958
275	43701	3800
276	43888	3644
277	44046	3485
278	44222	3328
279	44381	3170
280	44537	3011
281	44687	2852
282	44834	2693
283	45004	2535
284	45176	2377
285	45324	2218
286	45478	2060
287	45634	1901
288	45804	1743
289	45970	1585
290	46126	1426
291	46281	1267
292	46415	1108
293	46562	950
294	46701	791
295	46827	632
296	46964	474
297	47088	316
298	47247	158
299	47394	0
