,0
F949,0.082696855
F1057,0.059272062
F1166,0.03561446
F1706,0.03551669
F1705,0.029741406
F3811,0.025721414
F3807,0.024862193
F1058,0.024221687
F1597,0.023085272
F3805,0.020990219
F1603,0.020629102
F1285,0.018787062
F1711,0.018246382
F1814,0.017247653
F1712,0.016729368
F3806,0.015678057
F951,0.014839859
F1173,0.0142232375
F1315,0.013712033
F1856,0.012339661
F1070,0.012076447
F1713,0.011549931
F1639,0.011081811
F950,0.01093332
F1394,0.010860275
F1599,0.010150033
F3800,0.01011678
F1707,0.009903137
F2582,0.009247891
F1490,0.008811776
F1813,0.007995299
F3872,0.007925823
F3873,0.007885692
F1165,0.0077972533
F1275,0.007638155
F3871,0.0074490495
F991,0.0070380596
F1099,0.0070173796
F1388,0.0069253016
F1491,0.006664773
log_F2737,0.0063473363
F1747,0.00611443
F1718,0.006058441
F1604,0.0059765945
F3846,0.0059020207
F1274,0.005464851
F3813,0.0050329836
F1436,0.005027726
F1760,0.0048699896
F1101,0.0048446413
F1815,0.004809983
F1855,0.0047028065
F1692,0.004586855
F1610,0.004489513
F1316,0.004462111
F956,0.004263979
F1719,0.0042158635
F1389,0.0041775727
F1167,0.0041583856
F2678,0.004102756
F1820,0.003979455
F1209,0.0038864056
F3894,0.0038435522
F3812,0.0037446413
F1611,0.003691192
F1395,0.0036627655
F1425,0.003590915
F1533,0.0035803986
F3889,0.0035597822
F992,0.0035167057
F1382,0.0034976427
F1221,0.003473197
F3799,0.0032818203
F1598,0.0032263582
F3848,0.0032087273
F1640,0.0031675235
F3835,0.0031351447
F1826,0.0031342378
F1651,0.0030099868
F1393,0.0029780373
F1827,0.002892461
F1545,0.0028470007
F1748,0.0028269617
F1652,0.002656199
F1064,0.0026508633
F3801,0.0026424818
F1869,0.0026269401
F1497,0.0025901506
F115,0.0025277461
F1423,0.0025125216
F1749,0.002509788
F1280,0.0025030284
F1759,0.0024902225
F1821,0.0024591521
F1868,0.0023652164
F2737,0.0023221995
F3849,0.0022594947
F1112,0.0022494583
log_F3887,0.0022037297
F2122,0.0021334114
velocity_age_interaction,0.0020557516
F2956,0.00205233
F3043,0.0020367329
F1605,0.0020037757
F3836,0.001974119
F1100,0.0019193881
F3834,0.001854872
ratio_F115_F321,0.0018506951
F1424,0.0018365216
F1179,0.0018008477
F1503,0.0016953018
F955,0.0016876853
F3832,0.0016350764
F1825,0.0015728255
F1495,0.0015677724
F1327,0.0015460759
F1857,0.00150273
F962,0.0014920546
F1387,0.001483865
F1867,0.0014601671
F1286,0.0013875292
ratio_F2582_F2678,0.0013795737
F3833,0.0013686195
F1489,0.0013147321
F1065,0.0013120915
F3887,0.001272395
F1063,0.0012682745
F1003,0.0012607209
F531,0.0012530414
F1177,0.0012128241
F1609,0.0012089186
F3839,0.0011670887
F3891,0.0011664155
F1273,0.0011399263
F670,0.001138912
F1496,0.0011334236
F1717,0.0011258979
F1004,0.0011222471
F1328,0.0011176153
F1641,0.0010623808
F321,0.0010524036
F1171,0.0009982903
F1531,0.0009628678
F1207,0.0009422306
F3838,0.0008665315
F1502,0.000863739
F1761,0.0008608972
F1544,0.0008198063
F1069,0.00078615616
F1111,0.0007191793
ratio_F527_F531,0.0007010395
F1220,0.0006929838
F1178,0.0006655679
F1381,0.0006613595
F1172,0.00065548293
F527,0.000638847
F1543,0.00063838525
F3840,0.00062743213
log_F3836,0.0006249069
F1208,0.0006159287
F1219,0.000501331
F1059,0.00044520447
F3837,0.00044453357
F1819,0.00036677168
F1383,0.0003045746
F1532,0.00029682808
F1279,0.00021317905
F1435,0.00020155506
F961,6.200147e-05
F1501,5.9586593e-05
F1653,0.0
F1437,0.0
F3888_age_days,0.0
F3888_month,0.0
ratio_F2082_F2122,0.0
F3888_year,0.0
F2082,0.0
F1113,0.0
F1071,0.0
